Ticker,Close,Market cap ($),P/E (TTM),P/B,P/CF,Revenue (latest),Currency,MktCap/Revenue (USD only)
TSLA,411.11,1542662000000.0,406.6,18.77,98.35,94827000000.0,USD,16.26817256688496
GM,84.24,76150000000.0,28.24,1.25,3.05,185019000000.0,USD,0.41157935130986545
F,13.8,54986000000.0,11.68,1.22,2.73,184992000000.0,USD,0.29723447500432454
TM,244.22,318301000000.0,12.71,1.28,10.23,48036704000000.0,JPY,
NVDA,185.41,4505463000000.0,45.42,37.9,54.59,130497000000.0,USD,34.52541437734201
AAPL,278.12,4083119000000.0,34.67,46.37,30.41,416161000000.0,USD,9.81139270618823
GOOGL,322.86,3905637000000.0005,29.55,9.4,23.97,402836000000.0,USD,9.695352451121549
